Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;Kimiplex 30ml;Suplemento;4.00;60,52;60,52
;Ciclosporina Teva 100mg;Medicamentos;0.00;0;0
;Thrombocid;Medicamentos;0.00;0;0
;Tubo com tampa para centrifuga;Consumíveis;0.00;0;0
;AD Dog Weight Balance Mini (1-10Kg) 1,5kg;Canídeos - Ração - Seca;0.00;0;0
;Orozyme - Pasta dentífrica 70g;Medicamentos;6.00;58,44;58,44
;Schesir Gato Atum/Sardinha 70g - latinha amarela;Felídeos - Ração - Húmida;0.00;0;0
;TOW Prey Gato Angus Vaca 2.72Kg;Felídeos - Ração - Seca;0.00;0;0
;Colar 12,5 Confort;Consumíveis;7.00;19,6;19,6
;Trovetplus Gato Renal Oxalato Frango 1.2Kg;Felídeos - Ração - Seca;0.00;0;0
;AD Dog Medium Senior Chicken & Rice 3Kg;Canídeos - Ração - Seca;7.00;87,5;87,5
;Bioquimica - ALT (Alanine aminotransferase);Análises - Simples;13.00;16,51;16,51
;Trocoxil 30mg - 11-15kg - comprimido;Medicamentos;0.00;0;0
;Bolsa de embalagem - pequena (7x10cm);Consumíveis;0.00;0;0
;Emedog 1mg/ml - ampola de 1ml;Medicamentos;0.00;0;0
;Ceporex (cefalexina) - frasco f*;Medicamentos;0.00;0;0
;Schesir NS Gato Esterilizado Pato 1,4Kg;Felídeos - Ração - Seca;0.00;0;0
;RC Cat Gastro Intestinal 12x85g - Caixa;Felídeos - Ração - Húmida;0.00;0;0
;Credelio 450mg 11-22Kg - Comprimido;Canídeos - Desp.externo - Comprimido s/ prev.dirofilariose;18.00;74,16;74,16
;Dialix UT Cão - 30 comprimidos palatáveis;Suplemento;0.00;0;0
;Trovetplus Gato Renal Veado 1.2Kg;Felídeos - Ração - Seca;0.00;0;0
;Xilocaína spray 10% - Frasco  f*;Medicamentos;0.00;0;0
;Bioquimica - PHOS;Análises - Simples;50.00;99,5;99,5
;AD Dog Medium Puppy Chicken and Rice 12Kg;Canídeos - Ração - Seca;0.00;0;0
;Bolsa de embalagem - média (10x15cm);Consumíveis;0.00;0;0
;Herpless Facil - 1 embalagem;Suplemento;0.00;0;0
;Doxybactin (Doxiciclina) 50mg - comprimido;Medicamentos;346.00;155,7;155,7
;Schesir NS Gato Esterilizado Atum 1,4Kg;Felídeos - Ração - Seca;0.00;0;0
;RC Pill Assist Gato - Embalagem;Suplemento;0.00;0;0
;Bioquimica - AST;Análises - Simples;0.00;0;0
;AD Cat Adult Sensitive Salmon and Rice 3kg;Felídeos - Ração - Seca;0.00;0;0
;Bolsa de embalagem - grande (12x17cm);Consumíveis;0.00;0;0
;Purina Proplan Gastrointestinal (EN) lata 195g;Felídeos - Ração - Húmida;108.00;147,96;147,96
;Schesir Gato Salmão/Cenoura 40g - sopa;Felídeos - Ração - Húmida;3.00;2,07;2,07
;Schesir NS Puppy Peru 2,24Kg;Canídeos - Ração - Seca;0.00;0;0
;RC Pill Assist Cão (S) - Embalagem;Suplemento;0.00;0;0
;RC Cat Neutered Satiety Balance 3.5Kg;Felídeos - Ração - Seca;1.00;26,74;26,74
;Bioquimica - BUN/UREA (Blood urea nitrogen);Análises - Simples;17.00;22,95;22,95
;Anestesia volátil - Isoflurano - Isovet 250ml *f;Medicamentos;1.00;50,84;50,84
;Recarga sacos biodegradáveis lavanda Earth Rated;Bem-estar Animal;0.00;0;0
;Purina Proplan Sterilized Cat Beef 24x85g;Felídeos - Ração - Húmida;0.00;0;0
;Schesir Bio Cão Carne 400g - lata;Canídeos - Ração - Húmida;0.00;0;0
;Credelio PLUS 112,5mg 2,8-5,5Kg - Comprimido;Canídeos - Desp.interno e externo;29.00;142,1;142,1
;Amanova Gato Atum e Anchovas - lata 70g;Felídeos - Ração - Húmida;7.00;6,02;6,02
;Glonefro - 30 cápsulas;Medicamentos;11.00;147,07;147,07
;HPM KJ2 Cat Kidney & Joint 3kg;Felídeos - Ração - Seca;0.00;0;0
;Purina Proplan Hydra Care Salmão 85g - Saqueta;Felídeos - Ração - Húmida;3.00;2,19;2,19
;Bioquimica - ALP / ALKP (Alkaline phosphatase);Análises - Simples;8.00;0;0
;Bioquimica - Ca;Análises - Simples;0.00;0;0
;Applaws Cat Ocean Fish with Salmon 1,8kg;Felídeos - Ração - Seca;0.00;0;0
;Purina Proplan Sterilized Cat Fish 10x85g;Felídeos - Ração - Húmida;0.00;0;0
;Schesir Bio Cão Frango 85g - saqueta;Canídeos - Ração - Húmida;0.00;0;0
;Credelio PLUS 225mg 5,5-11Kg - Comprimido;Canídeos - Desp.interno e externo;30.00;168,3;168,3
;Sorofen duo - comprimido;Medicamentos;162.00;140,94;140,94
;Amanova Gato Frango & Camarão - lata 70g;Felídeos - Ração - Húmida;3.00;2,58;2,58
;Amanova Cão Adult Mini Digestive Divine Rabbit 800g;Canídeos - Ração - Seca;0.00;0;0
;Bioquimica - ALB (Albumin);Análises - Simples;13.00;17,55;17,55
;Woolf Duck and Cod Sandwich 100gr;Canideos e Felídeos - Ração - Húmida;0.00;0;0
;Applaws Cat Senior Atum e Sardinha - Lata 70g;Felídeos - Ração - Húmida;0.00;0;0
;Purina Proplan Sterilized Cat 12Kg;Felídeos - Ração - Seca;0.00;0;0
;Schesir Bio Cão Puppy Frango 400g - lata;Canídeos - Ração - Húmida;0.00;0;0
;HPM Cat Adult Neutered 3Kg;Felídeos - Ração - Seca;0.00;0;0
;Kimidryl Block Flocos 60g;Suplemento;10.00;119,5;119,5
